"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/CustomFileFilter.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"2","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/CustomFileFilter.java","3","25","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"3","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/CustomFileFilter.java","3","42","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"4","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/CustomFileFilter.java","5","59","Found 'DD'-anomaly for variable 'retour' (lines '59'-'61').","Controversial Rules","DataflowAnomalyAnalysis"
"5","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/CustomFileFilter.java","5","59","Found 'DD'-anomaly for variable 'retour' (lines '59'-'67').","Controversial Rules","DataflowAnomalyAnalysis"
"6","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/CustomFileFilter.java","5","63","Found 'DU'-anomaly for variable 'path' (lines '63'-'72').","Controversial Rules","DataflowAnomalyAnalysis"
"7","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/CustomFileFilter.java","5","67","Found 'DD'-anomaly for variable 'retour' (lines '67'-'67').","Controversial Rules","DataflowAnomalyAnalysis"
"8","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/CustomFileFilter.java","3","83","Returning 'extensions' may expose an internal array.","Security Code Guidelines","MethodReturnsInternalArray"
"9","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/SelecteurDeDossier.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"10","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/SelecteurDeDossier.java","3","18","Perhaps 'chosenFolder' could be replaced by a local variable.","Design Rules","SingularField"
"11","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/SelecteurDeDossier.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"12","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/SelecteurDeDossier.java","3","22","Private field 'parent' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"13","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/SelecteurDeFichier.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"14","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/SelecteurDeFichier.java","3","17","Perhaps 'chosenFile' could be replaced by a local variable.","Design Rules","SingularField"
"15","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/SelecteurDeFichier.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"16","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/SelecteurDeFichier.java","3","21","Private field 'parent' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"17","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"18","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"19","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"20","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"21","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","5","42","Found 'DD'-anomaly for variable 'target' (lines '42'-'45').","Controversial Rules","DataflowAnomalyAnalysis"
"22","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","5","42","Found 'DD'-anomaly for variable 'target' (lines '42'-'48').","Controversial Rules","DataflowAnomalyAnalysis"
"23","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","5","42","Found 'DD'-anomaly for variable 'target' (lines '42'-'51').","Controversial Rules","DataflowAnomalyAnalysis"
"24","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","5","42","Found 'DD'-anomaly for variable 'target' (lines '42'-'54').","Controversial Rules","DataflowAnomalyAnalysis"
"25","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","3","44","Use equals() to compare object references.","Design Rules","CompareObjectsWithEquals"
"26","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","5","45","Found 'DD'-anomaly for variable 'target' (lines '45'-'48').","Controversial Rules","DataflowAnomalyAnalysis"
"27","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","5","45","Found 'DD'-anomaly for variable 'target' (lines '45'-'51').","Controversial Rules","DataflowAnomalyAnalysis"
"28","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","5","45","Found 'DD'-anomaly for variable 'target' (lines '45'-'54').","Controversial Rules","DataflowAnomalyAnalysis"
"29","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","3","47","Use equals() to compare object references.","Design Rules","CompareObjectsWithEquals"
"30","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","5","48","Found 'DD'-anomaly for variable 'target' (lines '48'-'51').","Controversial Rules","DataflowAnomalyAnalysis"
"31","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","5","48","Found 'DD'-anomaly for variable 'target' (lines '48'-'54').","Controversial Rules","DataflowAnomalyAnalysis"
"32","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","3","50","Use equals() to compare object references.","Design Rules","CompareObjectsWithEquals"
"33","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","5","51","Found 'DD'-anomaly for variable 'target' (lines '51'-'54').","Controversial Rules","DataflowAnomalyAnalysis"
"34","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/Synchronizer.java","3","53","Use equals() to compare object references.","Design Rules","CompareObjectsWithEquals"
